
x:18, y:11, z:14 grains: []

x:19, y:11, z:14 grains: []

x:20, y:11, z:14 grains: []

x:0, y:12, z:14 grains: []

x:1, y:12, z:14 grains: []

x:2, y:12, z:14 grains: []

x:3, y:12, z:14 grains: []

x:4, y:12, z:14 grains: []

x:5, y:12, z:14 grains: []

x:6, y:12, z:14 grains: []

x:7, y:12, z:14 grains: []

x:8, y:12, z:14 grains: []

x:9, y:12, z:14 grains: []

x:10, y:12, z:14 grains: []

x:11, y:12, z:14 grains: []

x:12, y:12, z:14 grains: []

x:13, y:12, z:14 grains: []

x:14, y:12, z:14 grains: []

x:15, y:12, z:14 grains: []

x:16, y:12, z:14 grains: []

x:17, y:12, z:14 grains: []

x:18, y:12, z:14 grains: []

x:19, y:12, z:14 grains: []

x:20, y:12, z:14 grains: []

x:0, y:13, z:14 grains: []

x:1, y:13, z:14 grains: []

x:2, y:13, z:14 grains: []

x:3, y:13, z:14 grains: []

x:4, y:13, z:14 grains: []

x:5, y:13, z:14 grains: []

x:6, y:13, z:14 grains: []

x:7, y:13, z:14 grains: []

x:8, y:13, z:14 grains: []

x:9, y:13, z:14 grains: []

x:10, y:13, z:14 grains: []

x:11, y:13, z:14 grains: []

x:12, y:13, z:14 grains: []

x:13, y:13, z:14 grains: []

x:14, y:13, z:14 grains: []

x:15, y:13, z:14 grains: []

x:16, y:13, z:14 grains: []

x:17, y:13, z:14 grains: []

x:18, y:13, z:14 grains: []

x:19, y:13, z:14 grains: []

x:20, y:13, z:14 grains: []

x:0, y:14, z:14 grains: []

x:1, y:14, z:14 grains: []

x:2, y:14, z:14 grains: []

x:3, y:14, z:14 grains: []

x:4, y:14, z:14 grains: []

x:5, y:14, z:14 grains: []

x:6, y:14, z:14 grains: []

x:7, y:14, z:14 grains: []

x:8, y:14, z:14 grains: []

x:9, y:14, z:14 grains: []

x:10, y:14, z:14 grains: []

x:11, y:14, z:14 grains: []

x:12, y:14, z:14 grains: []

x:13, y:14, z:14 grains: []

x:14, y:14, z:14 grains: []

x:15, y:14, z:14 grains: []

x:16, y:14, z:14 grains: []

x:17, y:14, z:14 grains: []

x:18, y:14, z:14 grains: []

x:19, y:14, z:14 grains: []

x:20, y:14, z:14 grains: []

x:0, y:15, z:14 grains: []

x:1, y:15, z:14 grains: []

x:2, y:15, z:14 grains: []

x:3, y:15, z:14 grains: []

x:4, y:15, z:14 grains: []

x:5, y:15, z:14 grains: []

x:6, y:15, z:14 grains: []

x:7, y:15, z:14 grains: []

x:8, y:15, z:14 grains: []

x:9, y:15, z:14 grains: []

x:10, y:15, z:14 grains: []

x:11, y:15, z:14 grains: []

x:12, y:15, z:14 grains: []

x:13, y:15, z:14 grains: []

x:14, y:15, z:14 grains: []

x:15, y:15, z:14 grains: []

x:16, y:15, z:14 grains: []

x:17, y:15, z:14 grains: []

x:18, y:15, z:14 grains: []

x:19, y:15, z:14 grains: []

x:20, y:15, z:14 grains: []

